Hyb_Signal_GREEN,Assay_Signal_GREEN_maxLigand,Assay_Signal_GREEN_almostMaxLigand,Assay_Signal_RED_maxLigand,Assay_Signal_RED_almostMaxLigand
978.960614,210.5,387.8333333,2206.5,329.3333333
5988.910985,1908,2533.333333,2492.6,367.5
1984.595281,409.3333333,680.5,2171.2,325.6
2104.07923,478.6666667,717.5,2212.833333,492.6666667
2349.757852,610.6666667,794.3333333,2140.666667,407.6666667
15567.99463,6036.333333,6464.666667,4303.4,1863
14139.53642,4645,5955.833333,2769.833333,393.6666667
20463.62046,8802.166667,10562.83333,2384.666667,380.6666667
16997.50947,6624.333333,7826.833333,2097,435.5
17439.03839,8000,10349,2899,408.1666667
14746.09651,6531,8507.666667,2450.5,475.8333333
17558.88577,9761.166667,12032.5,2179.8,348.1666667
18817.05674,11662.5,12462.16667,2145.833333,417.6666667
20466.68079,12252.5,14263.33333,2363.166667,322.5
15425.5846,7302.666667,9905.5,2126,358
16827.73844,6535.833333,9677.166667,2138,319.6666667
16118.85156,5742.666667,8347.166667,2663.5,374.1666667
13288.93628,3685,6240.833333,2187,476.6666667
15788.56996,5266.5,8616.333333,2435.333333,455.1666667
18922.23828,9601.666667,11165.5,2293,422.6666667
20107.4575,11001,13337.16667,2621.333333,555.5
19646.72581,11108,13650.16667,2126.5,569.8333333
25190.88719,16914.16667,18436.66667,2286.5,483
16987.09296,8866.5,10766.33333,2104.833333,416.4
18473.83527,9619.833333,11564.33333,2308.333333,456.3333333
10107.20218,2657.166667,3996.833333,2075,375
3570.974945,821.3333333,1136.833333,2145.333333,342.3333333
7896.230587,2387.833333,3126.333333,2452.833333,450.1666667
8066.945313,2455.333333,3048.333333,2542.666667,461.2
7901.538865,2770.5,3356.333333,2350.25,464.1666667
3700.026752,958.1666667,1348.333333,2188.166667,529
21344.77158,9586,11268.5,3314.8,709.8333333
21836.39134,10268.5,11336,2483.666667,417.5
25205.86541,13566.33333,15707.5,2229.2,386.6666667
21847.50067,10590.83333,11708.33333,2036.333333,509.3333333
22193.86695,13314.33333,14541,2971.333333,488
