10.12.1,,10.12.2,,10.11,,10.1,,10.9,
Baseline,Ligand,Baseline,Ligand,Baseline,Ligand,Baseline,Ligand,Baseline,Ligand
1.070852416,0.833764196,0.802395051,0.749363543,1.119494884,1.039343058,1.220453365,1.032080275,1.254357543,1.120344541
0.940168815,0.819350921,0.917683782,0.888807316,1.041165752,1.006951632,1.05761115,0.830245897,1.331288219,1.124207445
0.90614021,0.787300393,1.016910476,0.85697766,1.034035607,0.982863688,0.978055384,0.806706381,1.083324826,0.961600684
0.895843764,0.791751162,0.966841905,0.824081492,1.051044458,0.903800139,0.899284451,0.759585672,1.153589255,1.054448998
0.923918467,0.824548115,0.960600032,0.847397192,1.065762696,0.931765731,0.88848925,0.823668238,1.1380603,1.015577122
0.906131522,0.731158239,0.888943417,0.757654767,1.059878935,1.005910193,1.034612731,0.862366288,1.155616455,1.045871769
0.959356782,0.828550071,0.758106121,0.862489533,1.148897336,1.073899593,1.131950934,1.066609824,1.224360654,1.23348886
1.038482026,0.909078092,0.979116413,1.037746238,1.032618808,0.994000242,1.064802707,0.965711494,1.488907431,1.328243983
0.954765345,0.887366514,0.840226422,0.85850466,1.289825618,1.253755892,1.018412251,1.034618967,1.179017177,1.021070511
0.924254058,0.714538251,0.85436674,0.715869687,1.117629197,0.984179687,1.041329078,0.818386515,1.157070764,0.912745591
0.867220397,0.601515498,0.957923812,0.617148124,1.023862353,0.865281807,0.893634057,0.652126123,0.973410254,0.786863533
0.806992165,0.502662534,0.957611505,0.535136261,0.843551788,0.626566886,0.777439754,0.47069202,0.882615225,0.653922165
0.852237967,0.509997789,1.006046113,0.541996218,0.803907539,0.579430448,0.710883379,0.50121714,0.851887147,0.677718796
0.786888203,0.399922653,0.982131565,0.474471766,0.784793049,0.459737415,0.688079363,0.39076469,0.895678303,0.541368954
0.744574822,0.415475491,1.108088985,0.480155984,0.672923083,0.50433972,0.635030038,0.409679211,0.747879023,0.526476115
0.819708026,0.388609022,1.027688518,0.419123231,0.699930949,0.375413556,0.642056311,0.328411725,0.715098559,0.438098137
0.878398473,0.294854793,1.06634837,0.328011176,0.817955178,0.310419686,0.745667677,0.294095068,0.828367931,0.378761384
0.864338266,0.312671831,1.047202607,0.384410556,0.82915939,0.453361121,0.79066739,0.369670529,0.831810657,0.506091767
0.824488789,0.311507643,0.870738828,0.337643949,0.847593394,0.414030323,0.824582932,0.325185606,0.848454302,0.465115323
0.774850168,0.308848042,1.292731982,0.431159366,0.730106671,0.475721252,0.61072477,0.361175244,0.7890345,0.47897471
0.851458088,0.38273941,0.979723268,0.415461772,0.818434264,0.496100004,0.702565933,0.377413297,0.834008329,0.563689779
0.994770552,0.629447818,0.905249668,0.534126897,0.899873664,0.729686154,0.902936879,0.627998392,0.939875634,0.735845517
1.057318505,0.885719477,0.819305121,0.735357589,1.214064601,1.167183982,1.275412508,1.193378529,1.409379183,1.265636534
1.040205771,0.864062503,0.923104918,0.814837742,1.157654984,1.070688137,1.068498325,1.018618401,1.378820434,1.269551669
0.991276523,0.800546383,0.971408575,0.780888608,1.041755316,0.923991741,0.950871947,0.717512473,1.36056175,1.178162406
0.88936884,0.69304272,0.924815261,0.749875261,1.132657623,1.04005363,0.929931257,0.731121483,1.040430053,0.963013797
0.815582077,0.682563352,1.125424264,0.801720706,0.972983504,0.899286922,0.793466399,0.733121023,1.113109053,0.996686803
0.837507526,0.703539801,1.133339119,0.762447437,0.958857409,0.951040908,0.805394909,0.635056269,1.114167207,1.104094
0.880768579,0.736765624,0.952775843,0.695790182,1.005146109,0.885163425,0.866629143,0.713575047,1.075248187,1.091617951
0.924473165,0.77236495,0.832726869,0.753769965,1.145197685,1.098678209,1.10549911,0.997675763,1.252342421,1.11863041
0.952519308,0.869297055,0.830393806,0.888406928,1.019509636,0.984732154,1.066726967,0.96189251,1.489768604,1.384375468
0.984423869,0.884634078,0.941849786,0.813999285,1.170876794,1.099656435,0.985252491,0.905698132,1.154406712,0.965014838
