Sodium_Baseline_GREEN,Sodium_MaxLigand_GREEN,Sodium_Baseline_GREEN,Sodium_MaxLigand_GREEN
-0.036489229,-0.036489229,0.145170065,0.174437263
-0.02164688,-0.02164688,0.141689873,0.293992049
0.02516381,0.02516381,0.186546414,0.232938772
0.145762071,0.145762071,0.246644719,0.316389367
0.252387118,0.252387118,0.273721699,0.24865552
0.234928816,0.234928816,0.286394593,0.230053042
0.266442681,0.266442681,0.272568371,0.22196256
0.318456869,0.318456869,0.308385787,0.230741132
0.202732623,0.202732623,0.328958146,0.22079712
0.132691153,0.132691153,0.237890678,0.35183808
0.147203657,0.147203657,0.22794302,0.299034861
0.093908098,0.093908098,0.183010928,0.256768303
0.089733079,0.089733079,0.225727773,0.2030679
0.026472658,0.026472658,0.146186807,0.237074419
0.044365833,0.044365833,0.141304442,0.197690943
0.029941433,0.029941433,0.155773474,0.218219586
0.041344592,0.041344592,0.123951223,0.18966614
0.025390444,0.025390444,0.102022532,0.208313375
0.043121988,0.043121988,0.179413989,0.199110343
0.042879601,0.042879601,0.188922723,0.213477625
0.041298024,0.041298024,0.149124699,0.256274991
0.020181929,0.020181929,0.152571005,0.299373745
0.046767744,0.046767744,0.124553156,0.263452535
0.019058253,0.019058253,0.098345202,0.258148607
0.038222316,0.038222316,0.126936077,0.228558606
0.046611151,0.046611151,0.062999137,0.181115333
-0.007092851,-0.007092851,0.103112698,0.181628879
0.040705394,0.040705394,0.157542373,0.213215882
0.055334551,0.055334551,0.165581567,0.257433978
0.115380112,0.115380112,0.191337411,0.280366471
0.199086325,0.199086325,0.274522402,0.269589422
0.274272103,0.274272103,0.270114695,0.256142906
0.28553481,0.28553481,0.269786662,0.238167312
0.287150339,0.287150339,0.305097339,0.239059366
0.119966751,0.119966751,0.21532253,0.300328579
0.085105276,0.085105276,0.150993324,0.304770946
0.080524439,0.080524439,0.203313786,0.187826168
0.051597444,0.051597444,0.210388948,0.192225
0.010042576,0.010042576,0.172840997,0.223754072
-0.00489604,-0.00489604,0.176213,0.211578936
0.060025638,0.060025638,0.149863909,0.161972005
0.025890541,0.025890541,0.22447345,0.124161977
0.042601848,0.042601848,0.16114728,0.182831186
0.044280223,0.044280223,0.152648705,0.242864138
0.034204578,0.034204578,0.157076524,0.225879794
0.011233158,0.011233158,0.155900853,0.238005452
0.009757013,0.009757013,0.164209583,0.242153982
0.026377177,0.026377177,0.143032112,0.195100934
-0.003314122,-0.003314122,0.113693379,0.237113172
0.002620788,0.002620788,0.092950519,0.23271251
0.009483071,0.009483071,0.082899375,0.228942121
0.040761505,0.040761505,0.154972346,0.156871074
0.037888071,0.037888071,0.157722508,0.216695795
0.075163051,0.075163051,0.172459088,0.26208607
0.022782917,0.022782917,0.151717848,0.256162408
0.154924176,0.154924176,0.241830943,0.297484817
0.180299739,0.180299739,0.255110235,0.295361636
0.205285935,0.205285935,0.297103096,0.251384846
0.072179248,0.072179248,0.186522749,0.228557012
0.068829656,0.068829656,0.201649674,0.186008804
0.072580423,0.072580423,0.153044686,0.149314277
0.049737885,0.049737885,0.179978421,0.163516393
0.026711354,0.026711354,0.131268779,0.269850451
0.019447926,0.019447926,0.185552726,0.134389704
0.058874199,0.058874199,0.138804484,0.226461043
0.053034816,0.053034816,0.164612227,0.185940958
0.010321447,0.010321447,0.200919424,0.166364217
0.021116518,0.021116518,0.155707489,0.235677603
0.005520923,0.005520923,0.207623253,0.219836423
0.016896417,0.016896417,0.166053841,0.198038964
0.034365162,0.034365162,0.179125181,0.203417306
0.026777979,0.026777979,0.152935524,0.178681849
-0.022611444,-0.022611444,0.100558159,0.138478338
-0.009771816,-0.009771816,0.154366154,0.18320361
0.007748856,0.007748856,0.148688082,0.185517155
0.006596796,0.006596796,0.169945359,0.11311514
0.056264943,0.056264943,0.213457587,0.215311289
-0.000515235,-0.000515235,0.161485252,0.224760489
0.056874868,0.056874868,0.20774666,0.232721661
0.123105548,0.123105548,0.234218223,0.24519654
0.199848571,0.199848571,0.265140815,0.285411625
0.053070371,0.053070371,0.161923188,0.197742386
0.077203574,0.077203574,0.227220306,0.135589271
0.059424058,0.059424058,0.206648326,0.114513914
0.039915409,0.039915409,0.254002397,0.074251827
0.003290131,0.003290131,0.177726518,0.257625616
0.026757248,0.026757248,0.167570998,0.195401572
0.059163649,0.059163649,0.149201682,0.189942749
